// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 07:30:00,67.524,16.722,64.669,19.428,28.734,0.6,0.8,34.830,-20.28,62.01,2.98,
2025/07/15 07:30:01,27.392,143.385,-21.987,16.338,28.732,0.6,0.8,34.842,25.06,-8.41,2.98,
2025/07/15 07:30:02,126.524,227.199,-85.967,-92.833,28.729,0.6,0.8,34.847,-26.60,-121.47,2.98,
2025/07/15 07:30:03,53.831,280.349,9.671,-52.955,28.726,0.6,0.8,34.824,-46.36,-21.10,2.98,
2025/07/15 07:30:04,111.299,174.954,-110.867,9.790,28.725,0.6,0.8,34.836,65.06,-77.87,2.98,
2025/07/15 07:30:05,133.016,205.739,-119.819,-57.764,28.722,0.6,0.8,34.810,20.77,-130.09,2.98,
2025/07/15 07:30:06,39.094,259.613,-7.049,-38.453,28.719,0.6,0.8,34.810,-25.04,-25.22,2.98,
2025/07/15 07:30:07,17.079,314.061,11.877,-12.273,28.718,0.6,0.8,34.796,-16.69,2.72,2.98,
2025/07/15 07:30:08,71.189,235.167,-40.662,-58.434,28.719,0.6,0.8,34.821,-23.74,-64.03,2.98,
2025/07/15 07:30:09,44.373,223.371,-32.256,-30.472,28.718,0.6,0.8,34.828,-6.53,-43.50,2.98,
2025/07/15 07:31:00,23.272,91.165,-0.473,23.267,28.677,0.8,0.6,46.438,14.89,15.03,2.98,
2025/07/15 07:31:01,134.588,315.271,95.617,-94.717,28.676,0.8,0.6,51.306,-133.26,-14.09,2.98,
2025/07/15 07:31:02,76.061,275.299,7.025,-75.736,28.675,0.8,0.5,54.093,-45.62,-52.10,2.98,
2025/07/15 07:31:03,191.903,307.944,117.999,-151.337,28.673,0.8,0.5,55.280,-177.44,-55.39,2.98,
2025/07/15 07:31:04,36.937,12.962,35.995,8.285,28.670,0.7,0.7,39.878,-15.70,30.92,2.98,
2025/07/15 07:31:05,91.338,204.696,-82.984,-38.161,28.667,0.5,0.9,24.747,0.08,-91.34,2.98,
2025/07/15 07:31:06,167.894,346.049,162.941,-40.477,28.665,0.5,0.8,29.869,-105.70,110.14,2.98,
2025/07/15 07:31:07,52.312,222.622,-38.493,-35.424,28.664,0.7,0.7,43.172,0.50,-52.31,2.98,
